Questions,Answers
What are the different diseases occuring in rice?,Main diseases occuring in rice are Rice Blast Magnaporthe grisea (Pyricularia oryzae) .It is one of the most destructive diseases of rice another one is Brown spot Cochliobolus miyabeanus.This disease is common in soils that are poorly drained or deficient in nutrients.
What are the control measures taken in the diseases occuring in rice?,"Diseases like rice blasts can be controlled by avoiding excess nitrogen fertilizer. There are several fungicides that effectively control blast but for economic
reason, these are not used in the tropics.Brown spots can be controlled by provide adequate fertilizer,planting a resistant variety,treating the seeds with fungicide or hot water help control the disease"
What are the different diseases occuring in tea?,"The different diseases commonly observed in tea are Blister blight which are small, pinhole-size spots are initially seen on young leaves less than a month old and red rust which are leaves developing lesions that are roughly circular, raised, and purple to reddish-brown."
What are the control measures taken in the diseases occuring in tea?,"Protectant fungicides, eradicant fungicides, and systemic fungicides are used as foliar sprays against blister blight disease seen in tea.For diseases like red rust remove all infected parts and destroy them. Remove and destroy all the infected plants and replant the area with resistant varieties. Clean away all debris in between plants to prevent rust from spreading. "
What are the different diseases occuring in pepper?,Diseases mainly observed in pepper are foot rot which is one or more black spots appear on the leaves which have a characteristic fine fibre like projections at the advancing margins which rapidly enlarge and cause defoliation and pollu disease which is  presence of characteristic cracks on the infected berries.
What are the different control measures taken in diseases occuring  in pepper?,Diseases like foot rot can be treated by providing good drainage. Soil drenching with 1% Bordeaux mixture after removal of the affected plant.Pollu diseases in pepper are treated by irrigating the pepper vines  and adequate shade regulation. 
What are the different diseases occuring in cucumber?,"The important diseases seen in cucumber are downy mildew, powdery mildew."
What are the different treatment for diseases in cucumber?,Using  drip irrigation and wide row spacing to dry the leaves and encouraging good air movement around the plants can help in downy mildew and mixing milk with water at a ratio of 1: 10 to 1: 2 and spray onto the affected foliage twice a week can help in powdery mildew.
What are the different diseases occuring in cardamom?,Different diseases seen in cardamom are Katte disease and Primary nursery leaf spot.
What are the treatment measures for diseases in cardamom?,"Chemical management practices, breeding for resistance and cross-protection help in reducing effects of  katte disease and for primary nursery leaf spot disease avoiding exposure of sunlight from top or bottom and  Prophylactic spraying with fungicides such as mancozeb (0.2%) can help"
What are the different diseases occuring in chilli?,"Diseases like damping off,die-back  are commonly occuring in chilli."
What are the treatment measures for diseases in chilli?,"Diseases like damping off can be treated by Sulphur powder, or a tea of seaweed, garlic or chamomile.Die-back disease is treated by seed treatment with Thiram or Captan 4g/kg also use of disease free seeds can be used as a control measure."
What are the different diseases occuring in Gwar?,"Atmospheric humidity encourages the infestation of many diseases like bacterial leaf blight, root rot etc."
What are the different treatment for diseases in Gwar?,Seed treatment with bleaching powder (100g/l) and zinc sulfate (2%) reduce bacterial blight.Root rots are managed by seed treatment with Moncern (3MI/Kg) + Carbendazim (Bavestive 2gm/Kg) + Soil application of Trichoderma herzinum (1.5/Kg/Hac) 
What are the different diseases occuring in Sugarcane,"Common diseases seen in sugarcane are red rot,Wilt."
What are the different treatment for diseases in sugarcane ,Red rot is treated by removal and destruction of the affected clumps also crop is to be sprayed with a systematic fungicide like Thiophanate methyl (0.1%) at three weeks intervals (2-3 sprays depending on the disease severity).Wilts are treated by dipping the setts in 40ppm Boran or Manganese for 10 minutes or in 0.25% Emisan or 0.05% Carbendazim for 15 minutes.
What are the different diseases in nutmeg?,Die back and Thread blight are common diseases seen in nutmeg.
What are the different treatment for diseases in nutmeg?,For die back disease the infected branches should be cut and removed and the cut end pasted with Bordeaux mixture 1%.Thread blight is treated by Bordeaux mixture 1% spraying may be undertaken in addition to cultural practices.
What are the different diseases in passion fruit?,Common diseases seen in passion fruit is collar rot and fusarium wilt 
What are the different treatment for diseases occuring in passion fruit?,"For diseases like collar rot areas previously infected with the disease should be avoided for new plantings and nurseries,careful irrigation must be carried out to avoid excess water.For fusarium wilt use of healthy seedlings and proper control of weeds are control measures."
What are the different diseases seen in kanthaloor apple?,The common diseases seen are apple scab and Marssonina leaf blotch
What are the different treatment measures taken in diseases in kanthaloor apple?,"Fixed copper, Bordeaux mixtures, copper soaps (copper octanoate), sulfur, mineral or neem oils, and myclobutanil are used for treatment of apple scab,disease like marssonina leaf blotch are treated by fungicides, such as trifloxystrobin, kresoxim-methyl, difenoconazole plus cyprodinil, myclobutanil, thiophanate-methyl, and mancozeb"
What are the different diseases seen in wheat?,Powdery mildew and loose smut are the common diseases seen in wheat.
What are the different treatment measures taken in diseases in wheat?,"Disease like powdery mildew can be controlled by using foliar fungicides.Effective control of loose smut can be achieved through the regular use of effective seed treatments. Several seed treatment options are available to control loose smut, including Jockey® Stayer®, EverGol® Prime, EverGo® Energy, Raxil® T and Hombre® Ultra."
What are the different diseases seen in breadfruit?,Common diseases seen in breadfruit are soft rot and white fly.
What are the different treatment for diseases in breadfruit?,"Soft rot  is treated by two sprays of Bordeaux mixture, one month apart.And white fly is treated by Neem oil and insecticidal soap sprays."
What are the different diseases occuring in drumstick?,Common diseases seen in drumstick are diplodia root rot and mite attacks.
What are the treatment measures taken in diseases in drumstick?,"Different treatment measures for diseases like diplodia root rot and mite attacks are are applying mulches of castor oil plant leaves, mahogany chips, tephrosia leaves, or Persian lilac leaves around the base of the Moringa plants.
Heaping ashes around the base of seedlings."
What are the different diseases seen in musk melon?,Common diseases in muskmelon are Gummy Stem Blight and Powdery mildew
What are the treatment measures taken in diseases in musk melon?,"Control for disease like gummy stem blight are after planting, check the seedling at least twice a week. If spots are seen on the leaves, remove them to delay the spread of the disease.Powdery mildew is controlled by use of resistant cultivars, also removal of debris, weeds, and volunteers that may harbor the pathogen can control the disease"
What are the different diseases seen in sweet potato?,Common diseases seen in sweet potato are Bacterial wilt and black rot 
What are the different treatment measures for diseases in sweet potato,Infected tubers should be disinfected by heat treatment. Bacterial wilt can be controlled by exposing the seed tubers to hot air (112 ºF) with 75% relative humidity for 30 min.Crop rotation can help in controlling black rot.
What are the different diseases occuring  in radish?,"Diseases occuring in radish are alternaria Blight (Alternaria raphani): The pathogen affects leaves, stem, pods and seeds. White Rust (Albugo candida): Disease attacks the leaves and flowering shoots"
What are the different ways to treat disease in radish?,"Alternaria blight can be rectified by Regular spraying with Difolatan (0.3%) or Dithane M 45 (0.2%) or Ridomil (0.1%) ,White rust is treated by clean cultivation and use of resistant varieties and regular spraying 
with Dithane Z 78 (0.2%) ."
What are the different diseases occuring  in greater Yam?,Yam dieback and Yam mosaic virus are common diseases seen in greater Yam
